Region code,Region name ,Local authority code,Local authority name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
E12000003,Yorkshire and The Humber,E08000035,Leeds,18923,20301,21097,22120,22322,22579,23688,24752,24607,24559,24480,26194,26141,26333,27815,27818,28042,28908,30249,30800,32381
E12000003,Yorkshire and The Humber,E08000036,Wakefield,18264,19183,20458,20497,21151,21815,23076,22995,22297,22014,22815,22907,22984,23561,24287,24933,26033,26632,26106,27984,28912
E12000004,East Midlands,E06000015,Derby,20786,21453,22081,23769,23350,21372,24793,26529,26413,26274,27211,26481,27442,28279,28376,28633,31954,30365,31465,30715,30827
E12000004,East Midlands,E06000016,Leicester,16186,17350,17720,18900,19130,20232,20091,20845,20932,21323,20777,21785,22135,21417,21996,21830,22189,23748,24711,25266,27661
E12000004,East Midlands,E06000017,Rutland,19332,23227,21095,21586,21998,23975,24977,26339,25061,25925,24336,24793,25416,28591,27953,28814,27880,30175,32489,32620,33202
E12000004,East Midlands,E06000018,Nottingham,17611,17873,19142,20403,21025,21793,20419,22681,22098,23000,22645,22308,22016,22580,23360,23493,23293,25078,25216,25050,27016
E12000004,East Midlands,E07000032,Amber Valley,19103,19766,20574,22899,22450,21961,24291,23965,24685,24719,25259,25349,25660,26694,27832,30031,29696,29602,33614,31389,30258
E12000004,East Midlands,E07000033,Bolsover,16327,17568,19632,19643,20969,23017,21816,23654,23548,21716,25786,23216,23757,22512,24659,23587,24912,25781,27576,26409,27485
E12000004,East Midlands,E07000034,Chesterfield,18957,20076,20279,22231,22105,21893,23413,23309,23879,24226,23890,24340,24163,25731,25775,25843,26008,26551,27590,26705,30502
E12000004,East Midlands,E07000035,Derbyshire Dales,24000,22506,23784,25453,23812,25822,28512,29333,29491,28501,28035,28369,28688,26804,31058,31356,30906,31887,35011,28284,33164
E12000004,East Midlands,E07000036,Erewash,19345,19378,21284,21692,22048,22968,24048,25457,23813,24368,26100,27475,26283,26232,26940,26863,27622,29222,29529,29980,32006
E12000004,East Midlands,E07000037,High Peak,21926,21682,22081,22771,23395,22424,24412,26110,25850,25949,26210,26713,26728,25497,25429,28654,28246,27581,29357,28680,29990
E12000004,East Midlands,E07000038,North East Derbyshire,18483,19703,19886,21401,22100,22727,23962,24382,25149,25725,24771,25706,25836,27012,27838,26523,28919,28442,28150,29309,30820
E12000004,East Midlands,E07000039,South Derbyshire,21038,21968,23566,23003,23046,23104,25945,24370,24519,24722,26381,27593,27415,26664,29290,30028,32974,32047,35269,32746,33404
E12000004,East Midlands,E07000129,Blaby,20203,21670,22884,24754,23184,23548,26078,28239,27531,27190,26636,27502,27656,27466,30372,30294,29618,30834,35234,29036,33098
E12000004,East Midlands,E07000130,Charnwood,19940,19750,20952,22696,24093,23507,25094,25338,25463,25404,25177,26991,27112,27584,28462,27279,29660,31622,30232,28691,31870
E12000004,East Midlands,E07000131,Harborough,23823,24669,23961,25403,24897,25574,27521,26996,28645,29942,30801,29352,30000,29997,33032,36117,35000,34701,36747,36307,34152
E12000004,East Midlands,E07000132,Hinckley and Bosworth,20006,20087,22192,23466,24167,22994,24270,26561,25176,25634,25510,25116,25221,25350,26085,27384,28713,29453,29174,30754,31770
E12000004,East Midlands,E07000133,Melton,18883,23018,23737,24732,23311,24985,24996,25450,24605,23530,23238,23440,24026,25212,25468,26815,27112,26209,27673,24128,33487
E12000004,East Midlands,E07000134,North West Leicestershire,19013,20567,21274,22069,22501,23169,25753,25707,24197,24758,25118,25344,25769,25518,25975,26638,29870,30092,30209,31354,35899
E12000004,East Midlands,E07000135,Oadby and Wigston,19604,19501,19786,21532,21844,20481,24235,25016,25548,26598,24474,23670,22784,21157,24000,26120,27031,27051,34204,26417,30043
E12000004,East Midlands,E07000136,Boston,17148,18058,17863,18272,18772,20875,20151,20364,20373,20444,20494,20915,20719,20376,21837,21089,21491,22459,24275,24591,25819
E12000004,East Midlands,E07000137,East Lindsey,16889,16882,17610,19032,19334,19764,20662,21960,21344,22227,23186,24336,24102,24111,25017,24468,25676,25659,26304,26015,28906
E12000004,East Midlands,E07000138,Lincoln,17975,17706,19046,19791,19898,20320,20735,22778,24393,22919,23000,24152,24149,22977,24465,23272,24908,26326,28777,25604,31011
E12000004,East Midlands,E07000139,North Kesteven,17536,17717,18453,19718,20681,20550,21824,23165,22882,21862,23846,24890,25840,26510,26089,27441,30667,28434,31089,31219,29197
E12000004,East Midlands,E07000140,South Holland,19703,20112,19550,20520,20778,20547,21708,23139,23994,23384,24410,24102,24407,23848,25292,24936,25781,26830,30182,30476,29962
E12000004,East Midlands,E07000141,South Kesteven,19609,20964,21289,22887,22745,23876,25029,24740,25482,26251,26607,27225,25896,24893,24935,26470,26482,28700,27416,28911,31914
E12000004,East Midlands,E07000142,West Lindsey,20490,21465,20890,20185,21417,21182,21954,23802,26155,24385,25290,26333,23416,25040,25486,27959,29330,29789,30286,31131,34052
E12000004,East Midlands,E06000061,North Northamptonshire,:,20189,21053,21365,22000,22359,22799,24120,24587,24936,25558,25666,25620,26370,26936,26972,27339,28003,29609,29575,31351
E12000004,East Midlands,E06000062,West Northamptonshire,:,23032,22990,24247,24374,25226,25901,26450,25858,26419,26672,28117,27245,27569,27785,28112,28885,30642,30299,30395,33340
E12000004,East Midlands,E07000170,Ashfield,17262,18054,19370,19436,20018,19595,20173,22235,21214,21020,21049,21690,23291,23923,24258,24664,25348,26074,26446,27359,29438
E12000004,East Midlands,E07000171,Bassetlaw,17955,19650,20733,21569,22144,23593,23885,25164,24340,23720,24107,24826,25450,25212,26444,26056,28436,28231,28975,26282,28482
E12000004,East Midlands,E07000172,Broxtowe,20363,21294,22040,22163,23211,23320,26310,26092,25935,24880,26818,27142,28266,29171,30678,29428,29195,31669,31847,32375,31272
E12000004,East Midlands,E07000173,Gedling,20395,20188,21133,23149,21659,24725,25014,25074,23541,25034,26256,26379,26022,26693,27746,27680,28628,29339,30042,30321,30095
E12000004,East Midlands,E07000174,Mansfield,17545,17998,18372,19532,20149,21166,22149,22234,22436,20519,21044,21155,21931,22995,22519,23374,23725,24348,25173,26441,27785
E12000004,East Midlands,E07000175,Newark and Sherwood,18969,19420,19403,21024,22903,21136,21787,23401,22697,22259,22951,22797,24098,24101,25125,24785,27562,26578,30703,30811,33057
E12000004,East Midlands,E07000176,Rushcliffe,25843,27098,27369,28480,28973,28689,31209,33560,32892,32558,32307,33330,32442,31969,35113,36520,34891,35545,35262,34474,35598
E12000005,West Midlands,E06000019,"Herefordshire, County of",17865,18538,19274,19613,19610,20889,21695,22002,20681,20561,21022,21241,22972,22601,25004,23328,25153,26235,28463,29243,29266
E12000005,West Midlands,E06000020,Telford and Wrekin,18301,18824,19781,20134,20277,22086,22787,22348,22382,22802,23039,23489,23505,25022,25472,24246,25923,27671,27902,28169,30815
